typeID,groupID, typeName,marketGroupID
18,458,Plagioclase,516
19,461,Spodumain,517
20,457,Kernite,523
21,454,Hedbergite,527
22,450,Arkonor,512
34,18,Tritanium,1857
35,18,Pyerite,1857
36,18,Mexallon,1857
37,18,Isogen,1857
38,18,Nocxium,1857
39,18,Zydrine,1857
40,18,Megacyte,1857
41,280,Garbage,20
42,280,Spiced Wine,492
43,280,Antibiotics,492
44,1034,Enriched Uranium,1335
45,281,Frozen Plant Seeds,492
178,83,Carbonized Lead S,113
179,83,Nuclear S,113
180,83,Proton S,113
181,83,Depleted Uranium S,113
182,83,Titanium Sabot S,113
183,83,Fusion S,113
184,83,Phased Plasma S,113
185,83,EMP S,113
186,83,Carbonized Lead M,112
187,83,Nuclear M,112
188,83,Proton M,112
189,83,Depleted Uranium M,112
190,83,Titanium Sabot M,112
191,83,Fusion M,112
192,83,Phased Plasma M,112
193,83,EMP M,112
194,83,Carbonized Lead L,109
195,83,Nuclear L,109
196,83,Proton L,109
197,83,Depleted Uranium L,109
198,83,Titanium Sabot L,109
199,83,Fusion L,109
200,83,Phased Plasma L,109
201,83,EMP L,109
202,386,Mjolnir Cruise Missile,921
203,386,Scourge Cruise Missile,921
204,386,Inferno Cruise Missile,921
205,386,Nova Cruise Missile,921
206,385,Nova Heavy Missile,924
207,385,Mjolnir Heavy Missile,924
208,385,Inferno Heavy Missile,924
209,385,Scourge Heavy Missile,924
210,384,Scourge Light Missile,920
211,384,Inferno Light Missile,920
212,384,Mjolnir Light Missile,920
213,384,Nova Light Missile,920
215,85,Iron Charge S,107
216,85,Tungsten Charge S,107
217,85,Iridium Charge S,107
218,85,Lead Charge S,107
219,85,Thorium Charge S,107
220,85,Uranium Charge S,107
221,85,Plutonium Charge S,107
222,85,Antimatter Charge S,107
223,85,Iron Charge M,108
224,85,Tungsten Charge M,108
225,85,Iridium Charge M,108
226,85,Lead Charge M,108
227,85,Thorium Charge M,108
228,85,Uranium Charge M,108
229,85,Plutonium Charge M,108
230,85,Antimatter Charge M,108
231,85,Iron Charge L,106
